# Exact displayed word<TAB>replacement Zipf (0..9)<TAB>reason
# Replaces observed or missing evidence before the shared admission gate.
# Zero explicitly excludes; other values still need to pass ENGLISH_MIN_ZIPF.
# Applies to all existing code aliases of this exact case/spelling; creates no words.
# Curated technology admissions are product policy, not measured frequency.
# Exact displayed text	policy replacement Zipf	reason
Debian	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
CentOS	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
macOS	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
iOS	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Python	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
TypeScript	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
JavaScript	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Rust	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Kotlin	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Dart	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Flutter	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
React Native	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Next.js	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Node.js	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Vue	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Angular	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Django	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
FastAPI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Spring Boot	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
.NET	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
C++	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
C#	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Objective-C	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
VS Code	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Visual Studio Code	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
IntelliJ IDEA	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
PyCharm	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
WebStorm	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
OpenAI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
ChatGPT	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Claude	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Claude Code	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Codex	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Codex CLI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
DeepSeek	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Gemini	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Qwen	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Ollama	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
PyTorch	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
TensorFlow	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
CUDA	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
LLM	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GPT	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
MCP	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
RAG	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
NLP	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
OCR	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
AIGC	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
AGI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
